subtype,species_latin_name,species_common_name,species_description,SD_prompt
struthioniformes,Struthio camelus,Common Ostrich," Large flightless bird with long neck and legs. Males have black and white plumage, females are greyish-brown.","A photograph of a Common Ostrich (Struthio camelus): Large flightless bird with long neck and legs. Males have black and white plumage, females are greyish-brown."
struthioniformes,Struthio molybdophanes,Somali Ostrich," Similar to common ostrich but males have blueish skin on neck and thighs, females are greyish-brown.","A photograph of a Somali Ostrich (Struthio molybdophanes): Similar to common ostrich but males have blueish skin on neck and thighs, females are greyish-brown."
struthioniformes,Struthio camelus camelus,North African Ostrich, Subspecies of common ostrich with pinkish-white neck and legs.,A photograph of a North African Ostrich (Struthio camelus camelus): Subspecies of common ostrich with pinkish-white neck and legs.
struthioniformes,Struthio camelus australis,South African Ostrich," Subspecies of common ostrich, males have bright pinkish-red neck and thighs.","A photograph of a South African Ostrich (Struthio camelus australis): Subspecies of common ostrich, males have bright pinkish-red neck and thighs."
struthioniformes,Struthio camelus massaicus,Masai Ostrich," Subspecies of common ostrich, males have orange-pink neck and thighs.","A photograph of a Masai Ostrich (Struthio camelus massaicus): Subspecies of common ostrich, males have orange-pink neck and thighs."
struthioniformes,Casuarius casuarius,Southern Cassowary," Large flightless bird with black body, blue neck and head, and a prominent horn-like casque on its head.","A photograph of a Southern Cassowary (Casuarius casuarius): Large flightless bird with black body, blue neck and head, and a prominent horn-like casque on its head."
struthioniformes,Casuarius bennetti,Dwarf Cassowary," Smaller than southern cassowary, with blue and gold neck, and a less prominent casque.","A photograph of a Dwarf Cassowary (Casuarius bennetti): Smaller than southern cassowary, with blue and gold neck, and a less prominent casque."
struthioniformes,Casuarius unappendiculatus,Northern Cassowary, Similar to southern cassowary but with a golden neck and smaller casque.,A photograph of a Northern Cassowary (Casuarius unappendiculatus): Similar to southern cassowary but with a golden neck and smaller casque.
struthioniformes,Dromaius novaehollandiae,Emu," Large flightless bird with brown plumage, long neck and legs, and small wings.","A photograph of a Emu (Dromaius novaehollandiae): Large flightless bird with brown plumage, long neck and legs, and small wings."
struthioniformes,Rhea americana,Greater Rhea," Large flightless bird with grey-brown plumage, long neck and legs, and large wings.","A photograph of a Greater Rhea (Rhea americana): Large flightless bird with grey-brown plumage, long neck and legs, and large wings."
struthioniformes,Rhea pennata,Lesser Rhea," Smaller than greater rhea, with grey-brown plumage and a white patch on the throat.","A photograph of a Lesser Rhea (Rhea pennata): Smaller than greater rhea, with grey-brown plumage and a white patch on the throat."
